1,"13,09"
2,"14,49"
3,"13,94"
4,"14,31"
5,"29,99"
6,"30,23"
7,"29,68"
8,"30,11"
9,"44,56"
10,"46,30"
11,"46,57"
12,"48,06"
13,"47,58"
14,"47,61"
15,"47,82"
16,"47,59"
17,"49,78"
18,"49,43"
19,"50,62"
20,"49,52"
21,"50,57"
22,"49,56"
23,"49,73"
24,"50,20"
25,"51,03"
26,"50,99"
27,"51,09"
28,"50,67"
29,"51,04"
30,"50,68"
31,"50,92"
32,"50,72"
1,"13,09"
2,"13,95"
3,"14,38"
4,"13,92"
5,"29,71"
6,"30,71"
7,"29,77"
8,"30,11"
9,"44,56"
10,"46,22"
11,"46,21"
12,"46,86"
13,"47,23"
14,"47,05"
15,"47,60"
16,"47,88"
17,"49,63"
18,"50,59"
19,"49,89"
20,"50,89"
21,"51,05"
22,"50,27"
23,"50,30"
24,"50,26"
25,"50,89"
26,"49,97"
27,"50,47"
28,"51,15"
29,"50,75"
30,"50,87"
31,"51,12"
32,"51,46"
1,"13,09"
2,"13,91"
3,"14,39"
4,"14,41"
5,"29,65"
6,"29,63"
7,"30,07"
8,"29,79"
9,"46,79"
10,"46,21"
11,"46,25"
12,"46,93"
13,"46,81"
14,"47,40"
15,"47,69"
16,"47,82"
17,"50,06"
18,"50,09"
19,"50,46"
20,"50,10"
21,"50,08"
22,"50,44"
23,"50,08"
24,"50,42"
25,"50,13"
26,"50,42"
27,"50,46"
28,"49,85"
29,"50,03"
30,"50,50"
31,"50,12"
32,"49,67"
1, "13,13"
2, "13,92"
3, "14,78"
4, "15,53"
5, "31,89"
6, "31,77"
7, "32,68"
8, "34,39"
9, "44,78"
10, "45,40"
11, "46,70"
12, "46,92"
13, "49,86"
14, "46,64"
15, "47,26"
16, "47,87"
17, "49,95"
18, "50,07"
19, "50,07"
20, "50,11"
21, "50,08"
22, "49,84"
23, "50,65"
24, "50,48"
25, "50,63"
26, "50,15"
27, "49,93"
28, "49,67"
29, "48,78"
30, "50,17"
31, "50,65"
32, "50,02"
1, "14,15"
2, "13,92"
3, "13,93"
4, "14,32"
5, "30,05"
6, "29,63"
7, "30,23"
8, "29,82"
9, "44,57"
10, "46,27"
11, "46,24"
12, "47,07"
13, "46,82"
14, "47,38"
15, "47,27"
16, "47,44"
17, "50,12"
18, "50,93"
19, "50,83"
20, "50,82"
21, "50,42"
22, "50,36"
23, "50,69"
24, "50,75"
25, "50,35"
26, "50,89"
27, "50,31"
28, "50,34"
29, "51,39"
30, "49,38"
31, "50,77"
32, "49,62"
